argv	--vcf-dir	PREPARED_TARGET_VCF_DIR	--archaic-root	/mnt/d/data.BIG/refGen/archaic/37/vcf	--out	/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412	--match-helper	/mnt/d/scripts/gu/../0f/0phe.f.sh	--build	37	--chr-window-bp	500000	--jobs	1	--refs	Altai\ Chagyr\ Vindija\ Denisova\ Denisova25	--min-mac	2	--min-compared	2	--min-prop	0.8	--ld-r2	0.98	--min-ld-sites	2	--region-mode	core	--sample-file	/mnt/d/data.BIG/refGen/1kg/37/samples.txt	--flat-locus-dir	--loci	/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412/request.loci.analysis.bed	--loci-map	/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412/request.loci.map.tsv
requested_region_mode	core
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr15.noRB.vcf.gz:1307917714:1777797043.6161583000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr16.noRB.vcf.gz:1224990413:1777797727.8124205000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr17.noRB.vcf.gz:1192698044:1777797724.1055761000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr18.noRB.vcf.gz:1339539202:1777797805.0597556000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr19.noRB.vcf.gz:715810977:1777797486.4202897000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr2.noRB.vcf.gz:4104937947:1777798234.3603563000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr20.noRB.vcf.gz:1046563735:1777798087.6828154000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr21.noRB.vcf.gz:581498017:1777798060.1020998000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr22.noRB.vcf.gz:533181876:1777798067.1974292000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr3.noRB.vcf.gz:3378010827:1777798321.2216853000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr4.noRB.vcf.gz:3199137300:1777798313.1325393000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr5.noRB.vcf.gz:3032700293:1777798375.3397896000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr6.noRB.vcf.gz:2871046002:1777798783.5322912000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr7.noRB.vcf.gz:2478731794:1777798785.9561904000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr8.noRB.vcf.gz:2478521141:1777798789.7051895000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr9.noRB.vcf.gz:1873703776:1777798775.1988460000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chrX.noRB.vcf.gz:2205218101:1777799020.8869641000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr10_mq25_mapab100.vcf.gz:2367686549:1468585273.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr11_mq25_mapab100.vcf.gz:2383002993:1468585310.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr12_mq25_mapab100.vcf.gz:2356371028:1468585345.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr13_mq25_mapab100.vcf.gz:1828421767:1468585372.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr14_mq25_mapab100.vcf.gz:1617053944:1468585397.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr15_mq25_mapab100.vcf.gz:1414216966:1468585418.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr16_mq25_mapab100.vcf.gz:1316514068:1468585437.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr17_mq25_mapab100.vcf.gz:1277954773:1468585456.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr18_mq25_mapab100.vcf.gz:1452676219:1468585478.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr19_mq25_mapab100.vcf.gz:755659894:1468585489.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr1_mq25_mapab100.vcf.gz:4024465384:1468585547.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr20_mq25_mapab100.vcf.gz:1123822975:1468585563.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr21_mq25_mapab100.vcf.gz:624933800:1468585573.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr22_mq25_mapab100.vcf.gz:569356174:1468585581.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr2_mq25_mapab100.vcf.gz:4435672458:1468585646.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr3_mq25_mapab100.vcf.gz:3656595655:1468585700.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr4_mq25_mapab100.vcf.gz:3484110042:1468585752.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr5_mq25_mapab100.vcf.gz:3291462196:1468585800.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr6_mq25_mapab100.vcf.gz:3134302027:1468585847.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr7_mq25_mapab100.vcf.gz:2681027297:1468585887.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr8_mq25_mapab100.vcf.gz:2673341500:1468585927.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chr9_mq25_mapab100.vcf.gz:2024875640:1468585958.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova/chrX_mq25_mapab100.vcf.gz:2367124790:1468585993.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr1.Den25.L35MQ25.B30.map35_100.vcf.gz:4041117614:1761653292.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr10.Den25.L35MQ25.B30.map35_100.vcf.gz:2383652840:1761652981.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr11.Den25.L35MQ25.B30.map35_100.vcf.gz:2397474312:1761653021.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr12.Den25.L35MQ25.B30.map35_100.vcf.gz:2381490434:1761653061.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr13.Den25.L35MQ25.B30.map35_100.vcf.gz:1855594161:1761653092.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr14.Den25.L35MQ25.B30.map35_100.vcf.gz:1625858226:1761653119.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr15.Den25.L35MQ25.B30.map35_100.vcf.gz:1415727421:1761653143.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr16.Den25.L35MQ25.B30.map35_100.vcf.gz:1311189924:1761653165.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr17.Den25.L35MQ25.B30.map35_100.vcf.gz:1276527320:1761653187.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr18.Den25.L35MQ25.B30.map35_100.vcf.gz:1464334934:1761653212.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr19.Den25.L35MQ25.B30.map35_100.vcf.gz:756377530:1761653225.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr2.Den25.L35MQ25.B30.map35_100.vcf.gz:4478559857:1761653406.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr20.Den25.L35MQ25.B30.map35_100.vcf.gz:1125113706:1761653311.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr21.Den25.L35MQ25.B30.map35_100.vcf.gz:631475262:1761653322.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr22.Den25.L35MQ25.B30.map35_100.vcf.gz:564509335:1761653331.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr3.Den25.L35MQ25.B30.map35_100.vcf.gz:3694758740:1761653469.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr4.Den25.L35MQ25.B30.map35_100.vcf.gz:3528143711:1761653528.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr5.Den25.L35MQ25.B30.map35_100.vcf.gz:3316255734:1761653584.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr6.Den25.L35MQ25.B30.map35_100.vcf.gz:3149752765:1761653637.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr7.Den25.L35MQ25.B30.map35_100.vcf.gz:2701597870:1761653683.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr8.Den25.L35MQ25.B30.map35_100.vcf.gz:2700339755:1761653729.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chr9.Den25.L35MQ25.B30.map35_100.vcf.gz:2030390620:1761653763.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Denisova25/chrX.Den25.L35MQ25.B30.map35_100.vcf.gz:2076748366:1761653798.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr10_mq25_mapab100.vcf.gz:2474459026:1468584134.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr11_mq25_mapab100.vcf.gz:2495963391:1468584168.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr12_mq25_mapab100.vcf.gz:2457395344:1468584206.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr13_mq25_mapab100.vcf.gz:1896464941:1468584234.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr14_mq25_mapab100.vcf.gz:1675113520:1468584267.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr15_mq25_mapab100.vcf.gz:1473306010:1468584296.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr16_mq25_mapab100.vcf.gz:1379458450:1468584322.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr17_mq25_mapab100.vcf.gz:1348389791:1468584348.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr18_mq25_mapab100.vcf.gz:1502710026:1468584376.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr19_mq25_mapab100.vcf.gz:813569515:1468584394.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr1_mq25_mapab100.vcf.gz:4201019275:1468584459.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr20_mq25_mapab100.vcf.gz:1183314420:1468584476.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr21_mq25_mapab100.vcf.gz:652029015:1468584490.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr22_mq25_mapab100.vcf.gz:602648791:1468584501.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr2_mq25_mapab100.vcf.gz:4619929702:1468584570.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr3_mq25_mapab100.vcf.gz:3808356799:1468584627.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr4_mq25_mapab100.vcf.gz:3587527353:1468584680.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr5_mq25_mapab100.vcf.gz:3413519274:1468584732.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr6_mq25_mapab100.vcf.gz:3237226437:1468584782.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr7_mq25_mapab100.vcf.gz:2785305717:1468584823.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr8_mq25_mapab100.vcf.gz:2787935433:1468584865.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chr9_mq25_mapab100.vcf.gz:2108570635:1468584897.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Vindija/chrX_mq25_mapab100.vcf.gz:2473316109:1468584934.0000000000
