Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
TNFRSF10B	TNFRSF10B	cis-position, cis-gene	44914	116	44798	2.93e-177	2.385475041	2.221505771	2.549444312	0.083657073	ptv	Neurology	TNFRSF10B:O14763:OID20981:v1:Neurology	1.6777E-182	2.389716193	8	23020133	23069031
DPT	DPT	cis-position, cis-gene	45810	143	45667	3.11e-177	-2.136991353	-2.283904432	-1.990078274	0.074955049	flexnonsynmtr	Cardiometabolic	DPT:Q07507:OID20278:v1:Cardiometabolic	9.5675E-175	-2.064534877	1	168695468	168729206
DPP4	DPP4	cis-position, cis-gene	44402	290	44112	2.49e-176	-1.566684083	-1.674656019	-1.458712148	0.055087232	flexdmg	Cardiometabolic	DPP4:P27487:OID20406:v1:Cardiometabolic	2.0527E-200	-1.575952006	2	161992245	162074394
SSNA1	SSNA1	cis-position, cis-gene	45423	128	45295	6.13e-166	-2.393221696	-2.5633673	-2.223076093	0.086808262	flexdmg	OncologyII	SSNA1:O43805:OID31453:v1:OncologyII	8.7022E-181	-2.397195219	9	137188660	137190370
KYNU	KYNU	cis-position, cis-gene	45752	159	45593	7.16e-165	-2.077637904	-2.225839115	-1.929436692	0.075612251	flexdmg	Inflammation	KYNU:Q16719:OID20669:v1:Inflammation	1.2173E-173	-2.02688681	2	142877657	143055833
CNDP1	CNDP1	cis-position, cis-gene	45433	269	45164	2.5e-164	-1.6418944	-1.759207475	-1.524581324	0.059853115	flexdmg	Cardiometabolic	CNDP1:Q96KN2:OID20347:v1:Cardiometabolic	4.0737E-173	-1.628837066	18	74534500	74587212
THBS4	THBS4	cis-position, cis-gene	45276	635	44641	3.95e-164	-1.066433741	-1.142676155	-0.990191327	0.038898865	flexdmg	Cardiometabolic	THBS4:P35443:OID20368:v1:Cardiometabolic	9.9453E-181	-1.075440343	5	79991311	80083287
PLA2G7	PLA2G7	cis-position, cis-gene	45260	271	44989	1.54e-163	-1.558835639	-1.670486895	-1.447184384	0.056964449	flexdmg	Neurology	PLA2G7:Q13093:OID21105:v1:Neurology	3.7926E-174	-1.525233634	6	46704201	46735693
HGFAC	HGFAC	cis-position, cis-gene	45294	399	44895	4.57e-163	-1.337010546	-1.432915056	-1.241106036	0.048930463	flexdmg	InflammationII	HGFAC:Q04756:OID30718:v1:InflammationII	2.8091E-174	-1.299757089	4	3441968	3449486
STAB1	MFAP4	trans-position, trans-gene	44654	714	43940	2.45e-161	0.980983788	0.910237283	1.051730293	0.03609484	ptvraredmg	InflammationII	MFAP4:P55083:OID30598:v1:InflammationII	1.2697E-176	0.958272996	3	52495338	52524495
ADAM8	ADAM8	cis-position, cis-gene	45565	155	45410	8.14e-161	-2.142259082	-2.29702247	-1.987495694	0.078960265	ptv	Neurology	ADAM8:P78325:OID21039:v1:Neurology	1.7194E-170	-2.149297872	10	133262420	133276868
NPL	NPL	cis-position, cis-gene	45616	246	45370	9.46e-157	-1.510004327	-1.620527406	-1.399481247	0.056388866	flexdmg	CardiometabolicII	NPL:Q9BXD5:OID30329:v1:CardiometabolicII	1.1598E-167	-1.522317325	1	182789293	182830384
ADA	ADA	cis-position, cis-gene	45752	210	45542	1.38e-152	-1.779116496	-1.911140965	-1.647092026	0.067358878	flexdmg	Inflammation	ADA:P00813:OID20645:v1:Inflammation	2.2035E-160	-1.740650432	20	44619522	44652233
AMPD3	AMPD3	cis-position, cis-gene	45493	437	45056	1.48e-152	-1.223373947	-1.314164895	-1.132582999	0.04632153	flexdmg	NeurologyII	AMPD3:Q01432:OID31139:v1:NeurologyII	9.6038E-180	-1.156805002	11	10308313	10507579
GDF15	GDF15	cis-position, cis-gene	45810	137	45673	2.04e-150	-1.83672978	-1.974030636	-1.699428925	0.070050892	flexdmg	Cardiometabolic	GDF15:Q99988:OID20251:v1:Cardiometabolic	8.1741E-145	-1.776223287	19	18374731	18389176
STAB2	DKK3	trans-position, trans-gene	45810	998	44812	2.3e-149	0.787146284	0.728093458	0.84619911	0.03012875	flexdmg	Cardiometabolic	DKK3:Q9UBP4:OID20264:v1:Cardiometabolic	4.8496E-161	0.77243083	12	103587273	103766719
STAB1	CSPG4	trans-position, trans-gene	45606	726	44880	5.3e-148	0.909985657	0.84139836	0.978572955	0.034993233	ptvraredmg	CardiometabolicII	CSPG4:Q6UVK1:OID30397:v1:CardiometabolicII	7.2601E-160	0.885533256	3	52495338	52524495
HPGDS	HPGDS	cis-position, cis-gene	44180	155	44025	3.09e-147	-2.06005998	-2.21572389	-1.904396069	0.079419645	flexdmg	Oncology	HPGDS:O60760:OID21266:v1:Oncology	2.7911E-151	-2.060932614	4	94298535	94342876
THOP1	THOP1	cis-position, cis-gene	45062	146	44916	2.64e-142	-1.986631211	-2.139392878	-1.833869544	0.077938964	flexdmg	Cardiometabolic	THOP1:P52888:OID20194:v1:Cardiometabolic	1.7942E-150	-1.953988534	19	2785503	2815807
SIAE	SIAE	cis-position, cis-gene	45307	430	44877	4.6e-141	-1.200288153	-1.292999789	-1.107576517	0.04730146	flexdmg	Oncology	SIAE:Q9HAT2:OID21503:v1:Oncology	3.2944E-154	-1.218307476	11	124633113	124695707
FCN2	FCN2	cis-position, cis-gene	45067	260	44807	3.45e-139	-1.536308227	-1.65578624	-1.416830215	0.060957652	flexdmg	Cardiometabolic	FCN2:Q15485:OID20382:v1:Cardiometabolic	1.3174E-143	-1.506223921	9	134880810	134887523
FAP	FAP	cis-position, cis-gene	45810	170	45640	1.6e-138	-1.858335377	-2.003220815	-1.71344994	0.073920546	flexdmg	Cardiometabolic	FAP:Q12884:OID20330:v1:Cardiometabolic	6.6473E-153	-1.869513479	2	162170684	162245151
PCSK9	PCSK9	cis-position, cis-gene	45810	278	45532	9.36e-137	-1.448487332	-1.56216169	-1.334812974	0.057996654	flexdmg	Cardiometabolic	PCSK9:Q8NBP7:OID20235:v1:Cardiometabolic	9.279E-103	-1.211224453	1	55039447	55064852
BTD	BTD	cis-position, cis-gene	45680	525	45155	4.38e-136	-1.070888172	-1.155139651	-0.986636694	0.042985099	flexdmg	InflammationII	BTD:P43251:OID30754:v1:InflammationII	3.6732E-227	-1.238785519	3	15601341	15722311
C7	C7	cis-position, cis-gene	44742	375	44367	1.46e-132	-1.229309523	-1.327323169	-1.131295877	0.050006528	flexdmg	InflammationII	C7:P10643:OID30766:v1:InflammationII	5.7558E-144	-1.197718709	5	40909492	40984643
ADAMTS13	ADAMTS13	cis-position, cis-gene	45810	306	45504	6.52e-132	-1.378671057	-1.488878184	-1.268463931	0.056227673	flexdmg	Cardiometabolic	ADAMTS13:Q76LX8:OID20249:v1:Cardiometabolic	5.8501E-142	-1.362686051	9	133414358	133459402
PEPD	PEPD	cis-position, cis-gene	45669	592	45077	2.51e-131	-0.990126782	-1.069454045	-0.910799519	0.040472764	flexdmg	InflammationII	PEPD:P12955:OID30688:v1:InflammationII	2.4556E-138	-0.979560952	19	33386950	33521823
CPQ	CPQ	cis-position, cis-gene	45534	212	45322	1.69e-128	-1.599307619	-1.728873689	-1.46974155	0.066104594	flexnonsynmtr	CardiometabolicII	CPQ:Q9Y646:OID30406:v1:CardiometabolicII	2.469E-124	-1.577241787	8	96645242	97149654
CA12	CA12	cis-position, cis-gene	45042	72	44970	1.74e-128	-2.791815291	-3.017994455	-2.565636127	0.115396551	ptv	Oncology	CA12:O43570:OID21344:v1:Oncology	1.8757E-133	-2.798361297	15	63321378	63381846
ENPP6	ENPP6	cis-position, cis-gene	44457	177	44280	1.76e-127	-1.73151101	-1.872347627	-1.590674393	0.07185478	flexdmg	CardiometabolicII	ENPP6:Q6UWR7:OID30273:v1:CardiometabolicII	1.7076E-143	-1.671332843	4	184088706	184221230
SELP	SELP	cis-position, cis-gene	45433	377	45056	2.68e-127	-1.223817622	-1.323440081	-1.124195163	0.050827364	flexdmg	Cardiometabolic	SELP:P16109:OID20379:v1:Cardiometabolic	1.6533E-134	-1.224065441	1	169588849	169630193
TCN2	TCN2	cis-position, cis-gene	45739	112	45627	4.43e-127	-2.185548818	-2.363618392	-2.007479245	0.090851088	flexdmg	Cardiometabolic	TCN2:P20062:OID20341:v1:Cardiometabolic	5.3088E-129	-2.108229918	22	30607003	30627271
STAB1	CD248	trans-position, trans-gene	45606	726	44880	1.32e-125	0.84742262	0.777965623	0.916879616	0.035436953	ptvraredmg	CardiometabolicII	CD248:Q9HCU0:OID30394:v1:CardiometabolicII	9.9059E-135	0.824013998	3	52495338	52524495
XPNPEP2	XPNPEP2	cis-position, cis-gene	45388	380	45008	6.15e-124	-1.190497026	-1.288741056	-1.092252995	0.050124089	rec	Oncology	XPNPEP2:O43895:OID21508:v1:Oncology	1.011E-133	-1.198529967	X	129738949	129769536
IL1R2	IL1R2	cis-position, cis-gene	45157	159	44998	3.5e-123	-1.800643249	-1.949701723	-1.651584774	0.0760496	flexdmg	Inflammation	IL1R2:P27930:OID20757:v1:Inflammation	3.97E-139	-1.839952482	2	101991960	102028544
PLA2G15	PLA2G15	cis-position, cis-gene	45388	226	45162	2.33e-121	-1.538008215	-1.66630214	-1.409714291	0.06545554	flexdmg	Oncology	PLA2G15:Q8NCC3:OID21473:v1:Oncology	1.8209E-135	-1.555572153	16	68245304	68261058
ANGPTL3	ANGPTL3	cis-position, cis-gene	45275	150	45125	3.18e-121	-1.726725195	-1.870841703	-1.582608687	0.073528215	flexdmg	Cardiometabolic	ANGPTL3:Q9Y5C1:OID20407:v1:Cardiometabolic	4.4823E-113	-1.58112717	1	62597520	62606313
BCHE	BCHE	cis-position, cis-gene	44938	359	44579	1.78e-119	-1.194967469	-1.295443394	-1.094491543	0.051262788	flexdmg	InflammationII	BCHE:P06276:OID30717:v1:InflammationII	2.7872E-135	-1.204283547	3	165772904	165837462
LY9	LY9	cis-position, cis-gene	44711	84	44627	2.15e-118	-2.485245638	-2.695183553	-2.275307722	0.107110249	flexdmg	Inflammation	LY9:Q9HBG7:OID20670:v1:Inflammation	5.3746E-117	-2.436608538	1	160796074	160828261
ANGPTL4	ANGPTL4	cis-position, cis-gene	45378	207	45171	6.4e-118	-1.550040186	-1.681252576	-1.418827796	0.066944541	flexnonsynmtr	Inflammation	ANGPTL4:Q9BY76:OID20703:v1:Inflammation	1.0028E-115	-1.447517284	19	8363289	8374370
CD109	CD109	cis-position, cis-gene	45260	306	44954	1.04e-117	-1.294481787	-1.404161019	-1.184802554	0.055958323	flexdmg	Neurology	CD109:Q6YHK3:OID21108:v1:Neurology	6.8844E-128	-1.281331066	6	73695785	73828316
GALNT10	GALNT10	cis-position, cis-gene	45042	186	44856	1.35e-116	-1.625911355	-1.764339899	-1.48748281	0.070626208	flexdmg	Oncology	GALNT10:Q86SR1:OID21371:v1:Oncology	9.7621E-132	-1.646403971	5	154190730	154420984
CA14	CA14	cis-position, cis-gene	45621	160	45461	1.2e-115	-1.708682692	-1.854772625	-1.562592758	0.074535072	flexdmg	Oncology	CA14:Q9ULX7:OID21401:v1:Oncology	1.8134E-127	-1.72017616	1	150257251	150265078
GNPTAB	CPQ	trans-position, trans-gene	45534	76	45458	1.67e-115	2.527212764	2.311001211	2.743424316	0.11031111	ptv	CardiometabolicII	CPQ:Q9Y646:OID30406:v1:CardiometabolicII	1.8116E-99	2.224820824	12	101745497	101830867
CRELD1	CRELD1	cis-position, cis-gene	44654	189	44465	6.92e-115	-1.619041565	-1.757928039	-1.480155091	0.070859827	flexdmg	InflammationII	CRELD1:Q96HD1:OID30619:v1:InflammationII	2.1997E-113	-1.579100388	3	9933793	9945413
STAB1	OMD	trans-position, trans-gene	45452	729	44723	1.59e-114	0.804797624	0.735644973	0.873950276	0.035281674	ptvraredmg	Inflammation	OMD:Q99983:OID20725:v1:Inflammation	5.3585E-124	0.784337388	3	52495338	52524495
WFIKKN1	WFIKKN1	cis-position, cis-gene	44766	173	44593	3.8e-114	-1.624469969	-1.764284648	-1.48465529	0.071333401	flexdmg	Neurology	WFIKKN1:Q96NZ8:OID20939:v1:Neurology	2.9196E-116	-1.585255878	16	629239	634117
EPHA1	EPHA1	cis-position, cis-gene	45384	302	45082	4.93e-114	-1.204600652	-1.308334536	-1.100866768	0.052925011	flexdmg	Inflammation	EPHA1:P21709:OID20677:v1:Inflammation	1.1223E-119	-1.126328263	7	143390289	143408856
FAM20A	FAM20A	cis-position, cis-gene	45616	284	45332	4.59e-113	-1.286563591	-1.397842022	-1.17528516	0.056774246	flexdmg	CardiometabolicII	FAM20A:Q96MK3:OID30348:v1:CardiometabolicII	5.9837E-139	-1.364662905	17	68535113	68601367
QPCT	QPCT	cis-position, cis-gene	45310	143	45167	4.59e-113	-1.838155038	-1.997139385	-1.679170691	0.081113785	flexdmg	Cardiometabolic	QPCT:Q16769:OID20320:v1:Cardiometabolic	7.8566E-115	-1.83550518	2	37342827	37373322
CA4	CA4	cis-position, cis-gene	45810	112	45698	1.7e-112	-2.098685451	-2.280677813	-1.91669309	0.092852497	flexdmg	Cardiometabolic	CA4:P22748:OID20241:v1:Cardiometabolic	1.4216E-126	-2.023487327	17	60149942	60170899
MELTF	MELTF	cis-position, cis-gene	45616	403	45213	2.93e-112	-1.094115098	-1.189094798	-0.999135399	0.048458635	flexdmg	CardiometabolicII	MELTF:P08582:OID30347:v1:CardiometabolicII	5.5085E-124	-1.091276192	3	196980590	197029835
GCNT1	GCNT1	cis-position, cis-gene	45042	91	44951	4.85e-112	-2.271747928	-2.469147729	-2.074348126	0.100713327	flexdmg	Oncology	GCNT1:Q02742:OID21379:v1:Oncology	1.3964E-118	-2.198721157	9	76419850	76651203
PRCP	PRCP	cis-position, cis-gene	45524	102	45422	6.1e-112	-2.127678175	-2.312649148	-1.942707202	0.094372169	ptvraredmg	Cardiometabolic	PRCP:P42785:OID20337:v1:Cardiometabolic	3.2213E-118	-2.059121611	11	82822936	82970584
IGFALS	IGFBP3	trans-position, trans-gene	45433	261	45172	1.1e-111	-1.323257727	-1.438429775	-1.20808568	0.058760762	flexdmg	Cardiometabolic	IGFBP3:P17936:OID20398:v1:Cardiometabolic	2.3771E-116	-1.29713544	16	1790413	1794908
ADA2	ADA2	cis-position, cis-gene	44988	215	44773	2.98e-110	-1.4683278	-1.596970884	-1.339684715	0.065633666	flexdmg	Cardiometabolic	ADA2:Q9NZK5:OID20394:v1:Cardiometabolic	1.6885E-119	-1.476363329	22	17178790	17258235
CD38	CD38	cis-position, cis-gene	45042	55	44987	4.49e-110	-2.436657853	-2.650315538	-2.223000168	0.109008096	ptv	Oncology	CD38:P28907:OID21316:v1:Oncology	1.7109E-109	-2.436147112	4	15778275	15853232
TCTN3	TCTN3	cis-position, cis-gene	45616	68	45548	1.08e-109	-2.636615739	-2.868226886	-2.405004591	0.118167987	ptv	CardiometabolicII	TCTN3:Q6NUS6:OID30326:v1:CardiometabolicII	2.1668E-115	-2.633439069	10	95659823	95694143
INHBC	INHBC	cis-position, cis-gene	45260	134	45126	1.1e-109	-1.893553321	-2.059891304	-1.727215337	0.084865607	flexdmg	Neurology	INHBC:P55103:OID21093:v1:Neurology	6.7355E-115	-1.872710685	12	57434784	57452062
SIGLEC1	SIGLEC1	cis-position, cis-gene	45452	651	44801	4.34e-109	-0.848881885	-0.923660847	-0.774102923	0.038152216	flexnonsynmtr	Inflammation	SIGLEC1:Q9BZZ2:OID20690:v1:Inflammation	2.8695E-111	-0.805704966	20	3686970	3712600
APCS	APCS	cis-position, cis-gene	45333	149	45184	6.61e-106	-1.655464414	-1.803522979	-1.507405849	0.075539454	flexnonsynmtr	InflammationII	APCS:P02743:OID30778:v1:InflammationII	2.9773E-109	-1.625895455	1	159587826	159588865
KIRREL2	KIRREL2	cis-position, cis-gene	44217	119	44098	3.04e-105	-1.943159869	-2.117496922	-1.768822815	0.088946675	rec	Neurology	KIRREL2:Q6UWL6:OID20873:v1:Neurology	2.7832E-109	-1.922676697	19	35855861	35867136
PAMR1	PAMR1	cis-position, cis-gene	45260	498	44762	3.42e-105	-0.943053634	-1.0276891	-0.858418167	0.043180999	flexdmg	Neurology	PAMR1:Q6UXH9:OID21153:v1:Neurology	8.8486E-108	-0.905390805	11	35431823	35530300
ACY3	ACY3	cis-position, cis-gene	44108	216	43892	1.37e-104	-1.428640746	-1.557223854	-1.300057639	0.065603031	flexdmg	CardiometabolicII	ACY3:Q96HD9:OID30086:v1:CardiometabolicII	9.3837E-115	-1.441722135	11	67642555	67650730
GNPTAB	CREG1	trans-position, trans-gene	44687	77	44610	3.3e-101	2.397980579	2.178478913	2.617482245	0.111989669	ptv	Oncology	CREG1:O75629:OID21515:v1:Oncology	1.2651E-101	2.233458394	12	101745497	101830867
GNPTAB	MAN2B2	trans-position, trans-gene	45616	77	45539	1.2e-99	2.370665049	2.151916485	2.589413612	0.111605498	ptv	CardiometabolicII	MAN2B2:Q9Y2E5:OID30306:v1:CardiometabolicII	1.8361E-101	2.215014627	12	101745497	101830867
GNPTAB	SMPDL3A	trans-position, trans-gene	45384	77	45307	1.25e-99	2.406410955	2.18434625	2.628475659	0.113297377	ptv	Inflammation	SMPDL3A:Q92484:OID20676:v1:Inflammation	2.313E-99	2.227232931	12	101745497	101830867
KLKB1	KLKB1	cis-position, cis-gene	44877	202	44675	9.71e-99	-1.405323792	-1.535600912	-1.275046672	0.066467346	ptvraredmg	InflammationII	KLKB1:P03952:OID30760:v1:InflammationII	1.1438E-103	-1.372765007	4	186226438	186258471
PON1	PON1	cis-position, cis-gene	45669	143	45526	2.06e-98	-1.725572426	-1.885815386	-1.565329465	0.081755947	flexdmg	InflammationII	PON1:P27169:OID30704:v1:InflammationII	5.8914E-102	-1.719337099	7	95297676	95324532
B4GALT7	GPC1	trans-position, trans-gene	45621	228	45393	7.43e-97	1.349015692	1.222712678	1.475318705	0.064439787	flexdmg	Oncology	GPC1:P35052:OID21438:v1:Oncology	8.9622E-102	1.330557728	5	177600118	177610347
CD36	CD36	cis-position, cis-gene	44339	153	44186	9.79e-97	-1.633867239	-1.786926356	-1.480808121	0.078090689	ptv	InflammationII	CD36:P16671:OID30485:v1:InflammationII	4.3241E-136	-1.717405759	7	80369575	80679277
ANPEP	ANPEP	cis-position, cis-gene	45364	117	45247	1.01e-96	-1.892344122	-2.069637669	-1.715050575	0.090455139	ptvraredmg	Cardiometabolic	ANPEP:P15144:OID20350:v1:Cardiometabolic	4.59002E-91	-1.594795702	15	89784895	89815401
STAB1	FBLN2	trans-position, trans-gene	45606	726	44880	7.15e-96	0.728135629	0.659605712	0.796665546	0.034963958	ptvraredmg	CardiometabolicII	FBLN2:P98095:OID30378:v1:CardiometabolicII	9.8081E-107	0.726143176	3	52495338	52524495
SPINK1	SPINK1	cis-position, cis-gene	45260	148	45112	9.23e-96	-1.644866893	-1.799766083	-1.489967704	0.079029537	flexnonsynmtr	Neurology	SPINK1:P00995:OID21097:v1:Neurology	7.22429E-97	-1.623825537	5	147824572	147831671
AARSD1	AARSD1	cis-position, cis-gene	45042	129	44913	3.07e-95	-1.737419304	-1.901491597	-1.573347011	0.083709642	flexdmg	Oncology	AARSD1:Q9BTE6:OID21311:v1:Oncology	1.3945E-105	-1.695498466	17	42950526	42964498
DDC	DDC	cis-position, cis-gene	45201	105	45096	3.47e-95	-1.983478394	-2.170841696	-1.796115092	0.095592717	ptvraredmg	Cardiometabolic	DDC:P20711:OID20215:v1:Cardiometabolic	2.02109E-94	-1.935697603	7	50458436	50565405
C1GALT1C1	C1GALT1C1	cis-position, cis-gene	44108	236	43872	9.68e-95	-1.34892553	-1.476647603	-1.221203458	0.065163731	rec	CardiometabolicII	C1GALT1C1:Q96EU7:OID30180:v1:CardiometabolicII	3.6417E-99	-1.340257665	X	120625674	120630054
LILRB4	LILRB4	cis-position, cis-gene	44437	87	44350	7.71e-94	-2.101622988	-2.30159473	-1.901651246	0.102025494	ptv	Inflammation	LILRB4:Q8NHJ6:OID20429:v1:Inflammation	6.45384E-95	-2.093424266	19	54643889	54670359
GALNT5	GALNT5	cis-position, cis-gene	45616	265	45351	1.53e-92	-1.211170284	-1.327247378	-1.095093189	0.059222524	flexdmg	CardiometabolicII	GALNT5:Q7Z7M9:OID30295:v1:CardiometabolicII	1.7106E-100	-1.20444799	2	157257705	157318491
SPINK5	SPINK5	cis-position, cis-gene	45260	103	45157	4.45e-92	-1.938944331	-2.125247483	-1.752641179	0.095051832	ptv	Neurology	SPINK5:Q9NQ38:OID21148:v1:Neurology	1.42218E-94	-1.931810881	5	148025683	148137382
CPA4	CPA4	cis-position, cis-gene	43889	144	43745	4.5e-92	-1.678552033	-1.839828213	-1.517275853	0.082283007	flexdmg	InflammationII	CPA4:Q9UI42:OID30606:v1:InflammationII	2.67353E-96	-1.653071478	7	130293134	130324180
CTSV	CTSV	cis-position, cis-gene	45466	128	45338	1.85e-91	-1.658123521	-1.817997673	-1.49824937	0.081567771	flexdmg	Oncology	CTSV:O60911:OID21405:v1:Oncology	6.4115E-103	-1.698748368	9	97029677	97156556
IDUA	IDUA	cis-position, cis-gene	45621	407	45214	4.07e-91	-0.99561824	-1.091799711	-0.899436768	0.049071778	flexdmg	Oncology	IDUA:P35475:OID21468:v1:Oncology	1.27537E-93	-0.958339864	4	986997	1004564
TCHH	FABP9	trans-position, trans-gene	45190	232	44958	4.31e-91	1.293475241	1.168504015	1.418446467	0.063760293	ptv	Inflammation	FABP9:Q0Z7S8:OID20501:v1:Inflammation	3.60183E-95	1.27512441	1	152106317	152115454
HSPG2	HSPG2	cis-position, cis-gene	44912	59	44853	6.4e-90	-2.483244071	-2.724761848	-2.241726295	0.123222297	ptv	Cardiometabolic	HSPG2:P98160:OID20383:v1:Cardiometabolic	1.289E-101	-2.504280842	1	21822244	21937310
FGL1	FGL1	cis-position, cis-gene	45669	194	45475	6.48e-90	-1.342958994	-1.473582645	-1.212335344	0.066644177	flexnonsynmtr	InflammationII	FGL1:Q08830:OID30702:v1:InflammationII	1.9791E-95	-1.349205996	8	17864380	17910365
GGT5	GGT5	cis-position, cis-gene	44914	78	44836	1.09e-89	-2.204113776	-2.418767013	-1.989460539	0.109516018	flexdmg	Neurology	GGT5:P36269:OID20909:v1:Neurology	5.23901E-93	-2.183542544	22	24219654	24245108
GNPTAB	NAAA	trans-position, trans-gene	44706	77	44629	1.17e-89	2.252140295	2.032774156	2.471506435	0.111920525	ptv	Neurology	NAAA:Q02083:OID20931:v1:Neurology	5.98642E-86	2.07182134	12	101745497	101830867
FETUB	FETUB	cis-position, cis-gene	45352	98	45254	1.28e-89	-1.95536096	-2.14586958	-1.764852341	0.097197466	flexdmg	Cardiometabolic	FETUB:Q9UGM5:OID20404:v1:Cardiometabolic	3.15216E-89	-1.82541643	3	186635969	186653141
FBP1	FBP1	cis-position, cis-gene	45276	155	45121	2.18e-89	1.569363464	1.41626044	1.722466488	0.078113134	flexdmg	Cardiometabolic	FBP1:P09467:OID20227:v1:Cardiometabolic	7.61128E-77	1.402012287	9	94603133	94640249
HYAL1	HYAL1	cis-position, cis-gene	45008	112	44896	6.79e-89	-1.85431012	-2.035724666	-1.672895574	0.092557653	flexdmg	Cardiometabolic	HYAL1:Q12794:OID20357:v1:Cardiometabolic	1.09111E-91	-1.8068178	3	50299890	50312381
KYAT1	KYAT1	cis-position, cis-gene	45201	184	45017	9.35e-89	-1.449227192	-1.591126015	-1.307328369	0.07239675	flexdmg	Cardiometabolic	KYAT1:Q16773:OID20232:v1:Cardiometabolic	4.98193E-97	-1.411644957	9	128832942	128882494
KEL	KEL	cis-position, cis-gene	44217	439	43778	1.31e-88	-0.911931653	-1.001294082	-0.822569224	0.045592665	flexdmg	Neurology	KEL:P23276:OID20881:v1:Neurology	1.18074E-96	-0.913445381	7	142941114	142962363
ASGR1	ITGB7	trans-position, trans-gene	45621	104	45517	3.88e-88	1.936803927	1.746479636	2.127128218	0.097103437	flexdmg	Oncology	ITGB7:P26010:OID21393:v1:Oncology	1.59747E-94	1.95707677	17	7173431	7179564
ACY1	ACY1	cis-position, cis-gene	45276	144	45132	3.89e-88	-1.543658405	-1.695347349	-1.391969461	0.077391671	flexdmg	Cardiometabolic	ACY1:Q03154:OID20137:v1:Cardiometabolic	3.25757E-93	-1.5384914	3	51983340	51989197
STAB2	PDGFRA	trans-position, trans-gene	45276	978	44298	1.11e-87	0.622931763	0.561555588	0.684307937	0.031314113	flexdmg	Cardiometabolic	PDGFRA:P16234:OID20133:v1:Cardiometabolic	6.80533E-97	0.619028698	12	103587273	103766719
ADAM15	ADAM15	cis-position, cis-gene	44454	128	44326	1.03e-86	-1.729420417	-1.900783887	-1.558056946	0.087429567	flexdmg	Cardiometabolic	ADAM15:Q13444:OID20109:v1:Cardiometabolic	1.80735E-96	-1.753686412	1	155050566	155062775
SUSD2	SUSD2	cis-position, cis-gene	45260	227	45033	1.03e-86	-1.252543472	-1.376657739	-1.128429204	0.063323075	flexdmg	Neurology	SUSD2:Q9UGT4:OID21098:v1:Neurology	2.4527E-101	-1.28460607	22	24181487	24189106
